  Package                                   Version  Build               Channel                                                                    Size
  + readline                                    8.1  h05e3726_0          conda-forge/osx-64                                                       Cached
  + tapi                                  1100.0.11  h9ce4665_0          conda-forge/osx-64                                                       196 KB
  + tk                                       8.6.11  h5dbffcc_1          conda-forge/osx-64                                                       Cached
  + tktable                                    2.10  h49f0cf7_3          conda-forge/osx-64                                                        79 KB
  + xz                                        5.2.5  haf1e3a3_1          conda-forge/osx-64                                                       Cached
  + zlib                                     1.2.11  h7795811_1010       conda-forge/osx-64                                                       Cached
  + zstd                                      1.5.0  h582d3a0_0          conda-forge/osx-64                                                       Cached

  Summary:

  Install: 166 packages

  Total download: 228 MB

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

