  Package                                   Version  Build               Channel                                                                   Size
  + r-ggforce                                 0.3.3  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-ggplot2                                 3.3.5  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-ggplotify                               0.1.0  r41hc72bb7e_0       conda-forge/noarch                                                      153 KB
  + r-ggraph                                  2.0.5  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-ggrepel                                 0.9.1  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-gh                                      1.3.0  r41hc72bb7e_0       conda-forge/noarch                                                      143 KB
  + r-git2r                                  0.28.0  r41h5ea82b1_0       conda-forge/osx-64                                                      842 KB
  + r-gitcreds                                0.1.1  r41hc72bb7e_0       conda-forge/noarch                                                       92 KB
  + r-globals                                0.14.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-glue                                    1.4.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-golem                                   0.3.1  r41hc72bb7e_0       conda-forge/noarch                                                        1 MB
  + r-gower                                   0.2.2  r41h28b5c78_0       conda-forge/osx-64                                                      173 KB
  + r-graphlayouts                            0.7.1  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-gridextra                                 2.3  r41hc72bb7e_1003    conda-forge/noarch                                                      Cached
  + r-gridgraphics                            0.5_1  r41hc72bb7e_0       conda-forge/noarch                                                      262 KB
  + r-gtable                                  0.3.0  r41hc72bb7e_3       conda-forge/noarch                                                      Cached
  + r-here                                    1.0.1  r41hc72bb7e_0       conda-forge/noarch                                                       55 KB
  + r-highr                                     0.9  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-htmltools                               0.5.2  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-htmlwidgets                             1.5.4  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-httpuv                                  1.6.2  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-httr                                    1.4.2  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-igraph                                  1.2.6  r41hc81bdb1_1       conda-forge/osx-64                                                      Cached
  + r-infotheo                                1.2.0  r41h9951f98_1004    conda-forge/osx-64                                                      Cached
  + r-ini                                     0.3.1  r41hc72bb7e_1003    conda-forge/noarch                                                       30 KB
  + r-ipred                                  0.9_11  r41h28b5c78_0       conda-forge/osx-64                                                      394 KB
  + r-isoband                                 0.2.5  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-iterators                              1.0.13  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-jquerylib                               0.1.4  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-jsonlite                                1.7.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-kernsmooth                            2.23_20  r41he19034d_0       conda-forge/osx-64                                                       98 KB
  + r-knitr                                    1.34  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-labeling                                0.4.2  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-lambda.r                                1.2.4  r41hc72bb7e_1       conda-forge/noarch                                                      Cached
  + r-later                                   1.2.0  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-lattice                               0.20_44  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-lava                                   1.6.10  r41hc72bb7e_0       conda-forge/noarch                                                        3 MB
  + r-lazyeval                                0.2.2  r41h28b5c78_2       conda-forge/osx-64                                                      Cached
  + r-lifecycle                               1.0.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-listenv                                 0.8.0  r41hc72bb7e_1       conda-forge/noarch                                                      Cached
  + r-locfit                                1.5_9.4  r41h28b5c78_1       conda-forge/osx-64                                                      Cached
  + r-lubridate                              1.7.10  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-magrittr                                2.0.1  r41h28b5c78_1       conda-forge/osx-64                                                      Cached
  + r-markdown                                  1.1  r41h28b5c78_1       conda-forge/osx-64                                                      Cached
  + r-mass                                   7.3_54  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-matrix                                  1.3_4  r41hc2c5f09_0       conda-forge/osx-64                                                      Cached
  + r-matrixstats                            0.60.1  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-memoise                                 2.0.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-metap                                     1.1  r41hc72bb7e_2       conda-forge/noarch                                                      Cached
  + r-mgcv                                   1.8_36  r41hc2c5f09_0       conda-forge/osx-64                                                      Cached
  + r-mime                                     0.11  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-modelmetrics                          1.2.2.2  r41h9951f98_1       conda-forge/osx-64                                                      158 KB
  + r-munsell                                 0.5.0  r41hc72bb7e_1003    conda-forge/noarch                                                      Cached
  + r-networkd3                                 0.4  r41hc72bb7e_1004    conda-forge/noarch                                                      202 KB
  + r-nlme                                  3.1_153  r41h749f5a1_0       conda-forge/osx-64                                                      Cached
  + r-nnet                                   7.3_16  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-numderiv                           2016.8_1.1  r41hc72bb7e_3       conda-forge/noarch                                                      125 KB
  + r-openssl                                 1.4.5  r41hd95e000_0       conda-forge/osx-64                                                      Cached
  + r-parallelly                             1.28.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-patchwork                               1.1.1  r41hc72bb7e_0       conda-forge/noarch                                                        3 MB
  + r-pillar                                  1.6.2  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-pkgbuild                                1.2.0  r41hc72bb7e_0       conda-forge/noarch                                                      157 KB
  + r-pkgconfig                               2.0.3  r41hc72bb7e_1       conda-forge/noarch                                                      Cached
  + r-pkgload                                 1.2.1  r41h9951f98_0       conda-forge/osx-64                                                      Cached
